ParName   Value   Gradient
mean_log_rec      13.7458  0.000517374
log_Rzero        13.81 -1.01993e-05
rec_dev(-10)   0.00221028 -6.90749e-05
rec_dev(-9)  -0.00346257 -0.000270057
rec_dev(-8)   -0.0286617   -0.0002568
rec_dev(-7)   -0.0498571 -0.000397913
rec_dev(-6)  -0.00318462  -0.00023095
rec_dev(-5)    0.0359398  8.11341e-05
rec_dev(-4)    0.0096795  3.10182e-05
rec_dev(-3)   -0.0211846 -0.000147045
rec_dev(-2)   -0.0486317 -0.000288849
rec_dev(-1)    0.0879408 -5.43784e-05
rec_dev(0)    0.0169601 -0.000193878
rec_dev(1)    0.0406195  0.000725516
rec_dev(2)     0.160379 -0.000637579
rec_dev(3)    0.0854875 -0.000344232
rec_dev(4)  -0.00783723 -0.000508171
rec_dev(5)     0.171176 -0.000741122
rec_dev(6)     0.202951 -0.000472446
rec_dev(7)    0.0050787 -0.000401445
rec_dev(8)     0.100633  0.000380238
rec_dev(9)   -0.0094697  0.000840223
rec_dev(10)    0.0413363  0.000837839
rec_dev(11)    0.0549978   0.00145041
rec_dev(12)   -0.0111053    0.0012846
rec_dev(13)   -0.0390115   0.00122324
rec_dev(14)    0.0706676   0.00219251
rec_dev(15)   -0.0180182   0.00231721
rec_dev(16)    0.0411591   0.00242567
rec_dev(17)   -0.0536645   0.00194142
rec_dev(18)    -0.149242   0.00233294
rec_dev(19)    -0.116736   0.00185697
rec_dev(20)    -0.176234   0.00207634
rec_dev(21)   -0.0115202   0.00174533
rec_dev(22)    -0.117952   0.00116718
rec_dev(23)     -0.23522 -0.000186848
rec_dev(24)    -0.286737 -7.04145e-05
rec_dev(25)    -0.223773 -0.000198947
rec_dev(26)    -0.302824  0.000161682
rec_dev(27)    -0.349179  0.000344088
rec_dev(28)    -0.312271 -0.000277487
rec_dev(29)    -0.235761   0.00057688
rec_dev(30)    -0.268402   0.00011541
fmort(1,1)   0.00932533  -0.00301113
fmort(1,2)    0.0274995 -0.000121286
fmort(1,3)     0.045859  0.000552875
fmort(1,4)    0.0624668  0.000856521
fmort(1,5)    0.0498944  0.000488861
fmort(1,6)    0.0896932  0.000126321
fmort(1,7)    0.0907602 -0.000291152
fmort(1,8)     0.191858 -0.000101206
fmort(1,9)      0.11227 -0.000577643
fmort(1,10)     0.137141 -0.000745362
fmort(1,11)     0.156444 -0.000955031
fmort(1,12)     0.168036  -0.00102793
fmort(1,13)     0.121985 -0.000710777
fmort(1,14)     0.176707 -0.000171238
fmort(1,15)     0.187747  0.000172667
fmort(1,16)     0.167273  0.000208879
fmort(1,17)     0.326401 -0.000359629
fmort(1,18)     0.267106 -0.000261148
fmort(1,19)     0.265669 -8.61895e-05
fmort(1,20)     0.262565  1.38159e-05
fmort(1,21)     0.363915  5.15273e-05
fmort(1,22)     0.265233  0.000612128
fmort(1,23)     0.436837  0.000534966
fmort(1,24)     0.363926  0.000737666
fmort(1,25)     0.364798  0.000518572
fmort(1,26)     0.337176  0.000223646
fmort(1,27)     0.333926 -0.000533832
fmort(1,28)     0.477056 -0.000573176
fmort(1,29)     0.371728 -9.00363e-05
fmort(1,30)     0.589048  0.000381796
rec_dev_future(31)            0            0
rec_dev_future(32)            0            0
rec_dev_future(33)            0            0
rec_dev_future(34)            0            0
rec_dev_future(35)            0            0
log_q_ind[1]     -14.8692 -5.86144e-08
repl_F    0.0946257 -1.41614e-07
